"","height","age_median","age_min","age_max","plus","minus"
"1",0,816.79,813.16,820.24,3.45,3.63
"2",5,816.71,813.08,820.16,3.45,3.63
"3",10,816.63,813,820.08,3.45,3.63
"4",15,816.55,812.93,820,3.45,3.63
"5",20,816.47,812.85,819.92,3.44,3.62
"6",25,816.39,812.77,819.84,3.44,3.62
"7",30,816.31,812.69,819.75,3.44,3.62
"8",35,816.23,812.61,819.67,3.44,3.62
"9",40,816.15,812.53,819.59,3.44,3.62
"10",45,816.07,812.45,819.51,3.44,3.62
"11",50,815.99,812.37,819.43,3.43,3.62
"12",55,815.91,812.29,819.34,3.43,3.62
"13",60,815.83,812.21,819.26,3.43,3.62
"14",65,815.75,812.13,819.18,3.43,3.62
"15",70,815.67,812.05,819.1,3.43,3.61
"16",75,815.58,811.98,819.02,3.44,3.6
"17",80,815.5,811.9,818.94,3.44,3.6
"18",85,815.42,811.82,818.85,3.43,3.6
"19",90,815.34,811.74,818.77,3.43,3.6
"20",95,815.25,811.66,818.69,3.44,3.6
"21",100,815.17,811.57,818.6,3.43,3.61
"22",105,815.09,811.46,818.49,3.4,3.63
"23",110,815.01,811.38,818.41,3.4,3.62
"24",115,814.92,811.3,818.32,3.4,3.62
"25",120,814.84,811.23,818.25,3.41,3.61
"26",125,814.76,811.15,818.16,3.4,3.61
"27",130,814.67,811.06,818.08,3.4,3.61
"28",135,814.59,810.98,817.99,3.4,3.61
"29",140,814.5,810.91,817.91,3.41,3.6
"30",145,814.42,810.83,817.83,3.4,3.59
"31",150,814.34,810.74,817.74,3.4,3.59
"32",155,814.25,810.66,817.65,3.4,3.59
"33",160,814.17,810.57,817.56,3.4,3.59
"34",165,814.08,810.49,817.48,3.4,3.59
"35",170,814,810.41,817.39,3.4,3.59
"36",175,813.91,810.32,817.31,3.4,3.59
"37",180,813.83,810.24,817.22,3.4,3.59
"38",185,813.74,810.16,817.14,3.4,3.58
"39",190,813.66,810.08,817.05,3.4,3.58
"40",195,813.57,809.99,816.97,3.4,3.58
"41",200,813.48,809.9,816.87,3.39,3.58
"42",205,813.4,809.82,816.78,3.39,3.58
"43",210,813.31,809.73,816.69,3.38,3.58
"44",215,813.22,809.65,816.61,3.38,3.57
"45",220,813.14,809.56,816.52,3.38,3.57
"46",225,813.05,809.48,816.43,3.38,3.57
"47",230,812.96,809.39,816.34,3.38,3.57
"48",235,812.87,809.31,816.25,3.38,3.57
"49",240,812.79,809.22,816.16,3.38,3.57
"50",245,812.7,809.13,816.07,3.38,3.57
"51",250,812.61,809.04,815.99,3.38,3.56
"52",255,812.52,808.99,815.93,3.41,3.53
"53",260,812.43,808.91,815.84,3.41,3.53
"54",265,812.34,808.82,815.75,3.41,3.52
"55",270,812.25,808.73,815.66,3.4,3.52
"56",275,812.17,808.59,815.51,3.34,3.58
"57",280,812.08,808.5,815.42,3.34,3.58
"58",285,811.99,808.45,815.37,3.38,3.53
"59",290,811.9,808.37,815.28,3.38,3.53
"60",295,811.81,808.28,815.18,3.38,3.53
"61",300,811.72,808.19,815.1,3.38,3.52
"62",305,811.63,808.11,815,3.38,3.52
"63",310,811.54,808.02,814.91,3.38,3.52
"64",315,811.44,807.92,814.82,3.37,3.52
"65",320,811.35,807.83,814.72,3.37,3.52
"66",325,811.26,807.75,814.63,3.37,3.52
"67",330,811.17,807.66,814.54,3.36,3.52
"68",335,811.08,807.57,814.44,3.36,3.51
"69",340,810.99,807.47,814.35,3.36,3.51
"70",345,810.9,807.38,814.26,3.36,3.51
"71",350,810.8,807.31,814.19,3.38,3.49
"72",355,810.71,807.22,814.09,3.38,3.49
"73",360,810.62,807.11,813.98,3.36,3.51
"74",365,810.53,807.02,813.88,3.36,3.51
"75",370,810.43,806.93,813.79,3.36,3.5
"76",375,810.34,806.84,813.7,3.36,3.5
"77",380,810.25,806.75,813.6,3.36,3.5
"78",385,810.15,806.63,813.48,3.33,3.53
"79",390,810.06,806.54,813.38,3.33,3.52
"80",395,809.96,806.45,813.29,3.33,3.52
"81",400,809.87,806.35,813.2,3.33,3.52
"82",405,809.77,806.26,813.1,3.32,3.52
