"","height","age_median","age_min","age_max","plus","minus"
"1",0,816.79,813.16,820.24,3.45,3.63
"2",1,816.77,813.14,820.22,3.45,3.63
"3",2,816.76,813.13,820.21,3.45,3.63
"4",3,816.74,813.11,820.19,3.45,3.63
"5",4,816.73,813.1,820.18,3.45,3.63
"6",5,816.71,813.08,820.16,3.45,3.63
"7",6,816.7,813.07,820.14,3.45,3.63
"8",7,816.68,813.05,820.13,3.45,3.63
"9",8,816.66,813.04,820.11,3.45,3.63
"10",9,816.65,813.02,820.1,3.45,3.63
"11",10,816.63,813,820.08,3.45,3.63
"12",11,816.62,812.99,820.06,3.45,3.63
"13",12,816.6,812.97,820.05,3.45,3.63
"14",13,816.58,812.96,820.03,3.45,3.63
"15",14,816.57,812.94,820.01,3.45,3.63
"16",15,816.55,812.93,820,3.45,3.63
"17",16,816.54,812.91,819.98,3.45,3.62
"18",17,816.52,812.9,819.97,3.45,3.62
"19",18,816.5,812.88,819.95,3.45,3.62
"20",19,816.49,812.86,819.93,3.44,3.62
"21",20,816.47,812.85,819.92,3.44,3.62
"22",21,816.46,812.83,819.9,3.44,3.62
"23",22,816.44,812.82,819.88,3.44,3.62
"24",23,816.42,812.8,819.87,3.44,3.62
"25",24,816.41,812.79,819.85,3.44,3.62
"26",25,816.39,812.77,819.84,3.44,3.62
"27",26,816.38,812.76,819.82,3.44,3.62
"28",27,816.36,812.74,819.8,3.44,3.62
"29",28,816.34,812.72,819.79,3.44,3.62
"30",29,816.33,812.71,819.77,3.44,3.62
"31",30,816.31,812.69,819.75,3.44,3.62
"32",31,816.3,812.68,819.74,3.44,3.62
"33",32,816.28,812.66,819.72,3.44,3.62
"34",33,816.27,812.65,819.7,3.44,3.62
"35",34,816.25,812.63,819.69,3.44,3.62
"36",35,816.23,812.61,819.67,3.44,3.62
"37",36,816.22,812.6,819.66,3.44,3.62
"38",37,816.2,812.58,819.64,3.44,3.62
"39",38,816.19,812.57,819.62,3.44,3.62
"40",39,816.17,812.55,819.61,3.44,3.62
"41",40,816.15,812.53,819.59,3.44,3.62
"42",41,816.14,812.52,819.57,3.44,3.62
"43",42,816.12,812.5,819.56,3.44,3.62
"44",43,816.1,812.49,819.54,3.44,3.62
"45",44,816.09,812.47,819.52,3.44,3.62
"46",45,816.07,812.45,819.51,3.44,3.62
"47",46,816.06,812.44,819.49,3.43,3.62
"48",47,816.04,812.42,819.47,3.43,3.62
"49",48,816.02,812.4,819.46,3.43,3.62
"50",49,816.01,812.39,819.44,3.43,3.62
"51",50,815.99,812.37,819.43,3.43,3.62
"52",51,815.98,812.36,819.41,3.43,3.62
"53",52,815.96,812.34,819.39,3.43,3.62
"54",53,815.94,812.32,819.38,3.43,3.62
"55",54,815.93,812.31,819.36,3.43,3.62
"56",55,815.91,812.29,819.34,3.43,3.62
"57",56,815.89,812.28,819.33,3.43,3.62
"58",57,815.88,812.26,819.31,3.43,3.62
"59",58,815.86,812.24,819.29,3.43,3.62
"60",59,815.85,812.23,819.28,3.43,3.62
"61",60,815.83,812.21,819.26,3.43,3.62
"62",61,815.81,812.2,819.24,3.43,3.62
"63",62,815.8,812.18,819.23,3.43,3.62
"64",63,815.78,812.16,819.21,3.43,3.62
"65",64,815.76,812.15,819.19,3.43,3.62
"66",65,815.75,812.13,819.18,3.43,3.62
"67",66,815.73,812.11,819.16,3.43,3.62
"68",67,815.71,812.1,819.15,3.44,3.61
"69",68,815.7,812.09,819.13,3.44,3.61
"70",69,815.68,812.07,819.12,3.43,3.61
"71",70,815.67,812.05,819.1,3.43,3.61
"72",71,815.65,812.04,819.08,3.43,3.61
"73",72,815.63,812.02,819.07,3.43,3.61
"74",73,815.62,812.01,819.06,3.44,3.61
"75",74,815.6,812,819.04,3.44,3.61
"76",75,815.58,811.98,819.02,3.44,3.6
"77",76,815.57,811.96,819.01,3.44,3.6
"78",77,815.55,811.95,818.99,3.44,3.6
"79",78,815.54,811.93,818.97,3.44,3.6
"80",79,815.52,811.92,818.96,3.44,3.6
"81",80,815.5,811.9,818.94,3.44,3.6
"82",81,815.49,811.88,818.92,3.44,3.6
"83",82,815.47,811.87,818.91,3.44,3.6
"84",83,815.45,811.85,818.89,3.44,3.6
"85",84,815.44,811.84,818.87,3.43,3.6
"86",85,815.42,811.82,818.85,3.43,3.6
"87",86,815.4,811.8,818.84,3.43,3.6
"88",87,815.39,811.79,818.82,3.43,3.6
"89",88,815.37,811.77,818.8,3.43,3.6
"90",89,815.35,811.76,818.79,3.43,3.6
"91",90,815.34,811.74,818.77,3.43,3.6
"92",91,815.32,811.72,818.76,3.43,3.6
"93",92,815.3,811.71,818.74,3.44,3.6
"94",93,815.29,811.69,818.72,3.44,3.6
"95",94,815.27,811.67,818.71,3.44,3.6
"96",95,815.25,811.66,818.69,3.44,3.6
"97",96,815.24,811.64,818.67,3.44,3.6
"98",97,815.22,811.62,818.66,3.44,3.6
"99",98,815.21,811.61,818.64,3.44,3.6
"100",99,815.19,811.59,818.63,3.44,3.59
"101",100,815.17,811.57,818.6,3.43,3.61
"102",101,815.16,811.55,818.58,3.43,3.6
"103",102,815.14,811.53,818.57,3.43,3.6
"104",103,815.12,811.52,818.55,3.43,3.6
"105",104,815.11,811.48,818.51,3.4,3.63
"106",105,815.09,811.46,818.49,3.4,3.63
"107",106,815.07,811.45,818.48,3.4,3.62
"108",107,815.06,811.43,818.46,3.4,3.62
"109",108,815.04,811.42,818.44,3.4,3.62
"110",109,815.02,811.4,818.43,3.4,3.62
"111",110,815.01,811.38,818.41,3.4,3.62
"112",111,814.99,811.37,818.39,3.4,3.62
