height,d13C,d18O,Sr87-86,Sr_ppm,Mn-Sr,References
2105.3,-4.0,-5.0,0.70675,,,Halverson et al. (2007)
2050.2,0.9,-4.1,0.70674,623,0.07,Halverson et al. (2007)
2042.4,,,0.70672,542,0.06,Halverson et al. (2007)
2022,7.1,-4.1,0.70675,,,Halverson et al. (2007)
1987.1,4.4,-4.6,0.70679,354,,Cox et al. (2016)
1985,4.0,-3.7,0.70662,1290,,Cox et al. (2016)
1982.7,3.6,-3.9,0.70700,1120,,Cox et al. (2016)
1980.5,3.0,-4.3,0.70668,990,,Cox et al. (2016)
1979,2.7,-5.2,0.70701,899,,Cox et al. (2016)
1978.1,2.6,-5.0,0.70669,1360,,Cox et al. (2016)
1970.1,2.7,-6.4,0.70677,358,0.16,Halverson et al. (2007)
1571.4,8.2,-4.9,0.70687,1860,0.00,Halverson et al. (2007)
1542.5,8.0,-5.9,0.70690,2740,0.01,Halverson et al. (2007)
1534.7,7.2,-5.9,0.70693,2560,0.02,Halverson et al. (2007)
1523.2,7.5,-5.8,0.70695,2980,0.01,Halverson et al. (2007)
1490.2,7.9,-5.3,0.70697,2540,0.00,Halverson et al. (2007)
1474.4,8.2,-6.1,0.70697,3380,0.01,Halverson et al. (2007)
921,4.9,-7.5,0.70649,739,0.02,Halverson et al. (2007)
895.5,5.2,-8.3,0.70634,942,0.01,Halverson et al. (2007)
898.1,4.3,-6.1,0.70661,1030,0.03,Halverson et al. (2007)
846.2,6.2,-6.7,0.70617,1890,0.01,Halverson et al. (2007)
822,4.1,-6.5,0.70651,739,0.10,Halverson et al. (2007)
852,6.0,-6.3,0.70625,993,0.07,Halverson et al. (2007)
837.4,5.9,-6.8,0.70629,964,0.06,Halverson et al. (2007)
821,,,0.70644,780,0.09,Halverson et al. (2007)
761,-2.45,-5.91,0.70636,651,0.05,Halverson et al. (2007)
755.6,0.13,-6.42,0.70639,1040,0.01,Halverson et al. (2007)
735.3,0.0,-5.5,0.70635,536,0.07,Halverson et al. (2007)
727.1,-1.68,-6.66,0.70646,753,0.02,Halverson et al. (2007)
719.2,-0.92,-6.44,0.70646,584,0.02,Halverson et al. (2007)
668.4,-0.7,-6.9,0.70634,930,0.02,Halverson et al. (2007)
657.9,-2.1,-7.3,0.70644,368,0.08,Halverson et al. (2007)
630.8,-0.3,-7.3,0.70642,806,0.02,Halverson et al. (2007)
621.4,0.6,-8.5,0.70660,1240,0.00,Halverson et al. (2007)
599.4,0.1,-6.9,0.70637,1480,0.01,Halverson et al. (2007)
579.2,-0.3,-8.5,0.70641,2030,0.00,Halverson et al. (2007)
550.8,-0.7,-9.2,0.70640,2280,0.00,Halverson et al. (2007)
498.2,-1.1,-8.3,0.70643,1240,0.00,Halverson et al. (2007)
483.9,-1.2,-8.5,0.70644,594,0.02,Halverson et al. (2007)
476.8,-1.2,-8.1,0.70635,696,0.02,Halverson et al. (2007)
454.4,0.3,-8.8,0.70624,282,0.10,Halverson et al. (2007)
444.1,6.4,-7.0,0.70625,1720,0.01,Halverson et al. (2007)
443.2,5.8,-10.6,0.70652,514,0.01,Halverson et al. (2007)
414.2,7.3,-7.1,0.70628,1690,0.00,Halverson et al. (2007)
366.7,6.6,-6.3,0.70626,2530,0.00,Halverson et al. (2007)
281.7,7.0,-5.7,0.70627,2280,0.01,Halverson et al. (2007)
